Link, Time, Name
<!DOCTYPE NETSCAPE-Bookmark-file-1>
<META HTTP-EQUIV="Content-Type" CONTENT="text/html; charset=UTF-8,
<TITLE>Bookmarks</TITLE>
<H1>Bookmarks</H1>
<DL><p>
<DT><H3 ADD_DATE="1486306431014001,Unlabeled</H3>
<DL><p>
http://maps.google.com/?cid=4080136141525697724,1485818251185001,Margaritaville Restaurant Atlantic City
http://maps.google.com/?q=Georgetown,+Washington,+DC&amp;ftid=0x89b7b649d094d649:0x4298822336a2e4f4,1489886051464001,Georgetown, Washington, DC
http://maps.google.com/?cid=4444412639261471563,1485743465995001,Watawa Sushi
http://maps.google.com/?cid=15708277607972362014,1488640324164001,Paulaner NYC
http://maps.google.com/?cid=7874782409136792901,1491063669808001,Empanada Mama - LES
http://maps.google.com/?cid=11521041156792487330,1491265255573001,Ninth Avenue Vintner Ltd
http://maps.google.com/?cid=7950893118019215099,1497652675836001,SUBWAY®Restaurants
http://maps.google.com/?cid=7452326388502343065,1478382233500001,Pole Position Raceway
http://maps.google.com/?cid=14232425189541795574,1484971803903001,Whole Foods Market
http://maps.google.com/?cid=1680141925238226340,1493078452585001,Q.E.D.
http://maps.google.com/?q=1650+Harvard+St+NW,+Washington,+DC+20009&amp;ftid=0x89b7b7d8af038685:0x8760e3c8942cf954,1489886197349001,1650 Harvard St NW, Washington, DC 20009
http://maps.google.com/?cid=8122124981711545017,1481337504158001,HinoMaru Ramen
http://maps.google.com/?q=556+Vermont+Rte+67+W,+Shaftsbury,+VT+05262&amp;ftid=0x89e090b64377b073:0xca296d0f230a955a,1501519169108001,556 Vermont Rte 67 W, Shaftsbury, VT 05262
http://maps.google.com/?cid=7929539775536181363,1499717969982001,Create
http://maps.google.com/?cid=11580242579568851310,1497801076338001,Eckart&#39;s Luncheonette
http://maps.google.com/?cid=2803064872941066132,1494177862765001,DNA Footwear Soho
http://maps.google.com/?cid=17650906778618086735,1492298180261001,New York Mart
http://maps.google.com/?cid=15979201492178491910,1486323797260001,99 Cents Fresh Pizza
http://maps.google.com/?cid=7704156255121404883,1484968474367001,Soba Noodle Azuma
http://maps.google.com/?cid=3773878377525674235,1477181562306001,Fred&#39;s
http://maps.google.com/?cid=11861330291617945167,1493491613759001,The Plaza Food Hall
http://maps.google.com/?cid=7898751914994357489,1489886118912001,Madhatter
http://maps.google.com/?cid=8870291644177152157,1483462586507001,Sephora
http://maps.google.com/?cid=5633297945187110119,1481383647069001,Parrot Coffee
http://maps.google.com/?cid=12024736225704689082,1488152720475001,Ramen Okidoki
http://maps.google.com/?cid=14763914319114951866,1501387771778001,Stewart&#39;s Shop
http://maps.google.com/?cid=16195782175447382280,1497219869623001,Town Park at Point Lookout
http://maps.google.com/?cid=1090890195992150773,1492290758424001,Front Street Pizza
http://maps.google.com/?cid=13962261096932418891,1498522310435001,Palermo Restaurant &amp; Bar
http://maps.google.com/?cid=16288052676743177809,1494543869542001,Ramses II Deli
http://maps.google.com/?cid=16770830725803488477,1486328995571001,Insomnia Cookies
http://maps.google.com/?cid=1294886626995649284,1489886095422001,Georgetown University Bookstore
http://maps.google.com/?cid=6499045959221325,1478570137446001,Sandwich House
http://maps.google.com/?cid=3763179799590368602,1492372024685001,Voilà Chocolat
http://maps.google.com/?cid=8588298957029271219,1487618929343001,LaGuardia Airport
http://maps.google.com/?cid=16930374751757641496,1491080572624001,Metropolitan Pavilion
http://maps.google.com/?cid=10814415040803191469,1499101714975001,Jack&#39;s
http://maps.google.com/?cid=11791318444716476564,1496086115783001,Gulluoglu
http://maps.google.com/?cid=17568163823154530491,1477919131383001,D&#39;Agostino
http://maps.google.com/?cid=7549379221997140087,1489104009969001,Vintner Wine Market
http://maps.google.com/?cid=8941892292708156868,1481163437704001,Snax Spot
http://maps.google.com/?cid=4690397784234438728,1487618973886001,Hartsfield-Jackson Atlanta International Airport
http://maps.google.com/?cid=5873453814262394157,1501387948364001,Crossett Library
http://maps.google.com/?cid=1150453352000399475,1500403688840001,Bar Nine
http://maps.google.com/?cid=10405513710077601138,1494033123687001,La Cerveceria
